Tanque,pH,Temperatura_C,Fecha,Hora,Jornada,Fecha_Hora,evento_externo,estado
Tanque 4,7.1,18.37,2025-02-05,15:15:00,Tarde,2025-02-05 15:15:00,Ninguno,0
Tanque 5,7.0,19.22,2025-02-05,15:20:00,Tarde,2025-02-05 15:20:00,Ninguno,0
Tanque 6,6.95,19.59,2025-02-05,15:25:00,Tarde,2025-02-05 15:25:00,Ninguno,0
Tanque 7,7.03,20.08,2025-02-05,15:30:00,Tarde,2025-02-05 15:30:00,Ninguno,1
Tanque 8,7.05,19.25,2025-02-05,15:35:00,Tarde,2025-02-05 15:35:00,Ninguno,0
Tanque 9,6.95,19.36,2025-02-05,15:40:00,Tarde,2025-02-05 15:40:00,Ninguno,0
Tanque 10,6.97,19.05,2025-02-05,15:45:00,Tarde,2025-02-05 15:45:00,Ninguno,0
Tanque 1,6.93,19.08,2025-02-06,08:25:00,Dia,2025-02-06 08:25:00,Ninguno,0
Tanque 2,7.12,17.37,2025-02-06,08:30:00,Dia,2025-02-06 08:30:00,Ninguno,0
Tanque 3,6.86,19.14,2025-02-06,08:35:00,Dia,2025-02-06 08:35:00,Ninguno,0
Tanque 4,7.08,18.0,2025-02-06,08:40:00,Dia,2025-02-06 08:40:00,Ninguno,0
Tanque 5,7.12,18.76,2025-02-06,08:45:00,Dia,2025-02-06 08:45:00,Ninguno,0
Tanque 6,6.87,18.24,2025-02-06,08:50:00,Dia,2025-02-06 08:50:00,Ninguno,0
Tanque 7,7.11,19.54,2025-02-06,08:55:00,Dia,2025-02-06 08:55:00,Ninguno,0
Tanque 8,6.77,19.17,2025-02-06,09:00:00,Dia,2025-02-06 09:00:00,Ninguno,0
Tanque 9,6.96,18.86,2025-02-06,09:05:00,Dia,2025-02-06 09:05:00,Ninguno,0
Tanque 10,6.98,18.94,2025-02-06,09:10:00,Dia,2025-02-06 09:10:00,Ninguno,0
Tanque 1,7.06,19.08,2025-02-06,15:00:00,Tarde,2025-02-06 15:00:00,Ninguno,0
Tanque 2,7.06,18.0,2025-02-06,15:05:00,Tarde,2025-02-06 15:05:00,Ninguno,0
Tanque 3,7.03,19.48,2025-02-06,15:10:00,Tarde,2025-02-06 15:10:00,Ninguno,0
Tanque 4,7.02,18.65,2025-02-06,15:15:00,Tarde,2025-02-06 15:15:00,Ninguno,0
Tanque 6,6.87,18.47,2025-02-06,15:25:00,Tarde,2025-02-06 15:25:00,Ninguno,0
Tanque 7,6.88,19.71,2025-02-06,15:30:00,Tarde,2025-02-06 15:30:00,Ninguno,0
Tanque 8,7.01,19.11,2025-02-06,15:35:00,Tarde,2025-02-06 15:35:00,Ninguno,0
Tanque 9,7.05,18.98,2025-02-06,15:40:00,Tarde,2025-02-06 15:40:00,Ninguno,0
Tanque 1,7.0,19.25,2025-02-07,08:25:00,Dia,2025-02-07 08:25:00,Ninguno,0
Tanque 2,7.18,17.44,2025-02-07,08:30:00,Dia,2025-02-07 08:30:00,Ninguno,0
Tanque 3,6.96,19.19,2025-02-07,08:35:00,Dia,2025-02-07 08:35:00,Ninguno,0
Tanque 4,7.15,18.08,2025-02-07,08:40:00,Dia,2025-02-07 08:40:00,Ninguno,0
Tanque 5,6.93,18.88,2025-02-07,08:45:00,Dia,2025-02-07 08:45:00,Ninguno,0
Tanque 6,6.81,17.75,2025-02-07,08:50:00,Dia,2025-02-07 08:50:00,Ninguno,0
Tanque 7,7.03,19.62,2025-02-07,08:55:00,Dia,2025-02-07 08:55:00,Ninguno,0
Tanque 8,6.95,18.95,2025-02-07,09:00:00,Dia,2025-02-07 09:00:00,Ninguno,0
Tanque 9,6.98,18.46,2025-02-07,09:05:00,Dia,2025-02-07 09:05:00,Ninguno,0
Tanque 10,6.97,18.51,2025-02-07,09:10:00,Dia,2025-02-07 09:10:00,Ninguno,0
Tanque 1,7.19,18.97,2025-02-07,15:00:00,Tarde,2025-02-07 15:00:00,Ninguno,0
Tanque 2,7.13,18.25,2025-02-07,15:05:00,Tarde,2025-02-07 15:05:00,Ninguno,0
Tanque 3,7.08,19.29,2025-02-07,15:10:00,Tarde,2025-02-07 15:10:00,Ninguno,0
Tanque 4,7.05,18.72,2025-02-07,15:15:00,Tarde,2025-02-07 15:15:00,Ninguno,0
Tanque 5,6.95,19.39,2025-02-07,15:20:00,Tarde,2025-02-07 15:20:00,Ninguno,0
Tanque 6,6.73,17.67,2025-02-07,15:25:00,Tarde,2025-02-07 15:25:00,Ninguno,0
Tanque 7,7.08,19.43,2025-02-07,15:30:00,Tarde,2025-02-07 15:30:00,Ninguno,0
Tanque 8,7.05,19.67,2025-02-07,15:35:00,Tarde,2025-02-07 15:35:00,Ninguno,0
Tanque 9,6.87,19.12,2025-02-07,15:40:00,Tarde,2025-02-07 15:40:00,Ninguno,0
Tanque 2,7.06,18.12,2025-02-10,08:30:00,Dia,2025-02-10 08:30:00,Ninguno,0
Tanque 3,7.03,19.07,2025-02-10,08:35:00,Dia,2025-02-10 08:35:00,Ninguno,0
Tanque 4,7.01,18.47,2025-02-10,08:40:00,Dia,2025-02-10 08:40:00,Ninguno,0
Tanque 5,7.02,19.04,2025-02-10,08:45:00,Dia,2025-02-10 08:45:00,Ninguno,0
Tanque 6,6.81,18.1,2025-02-10,08:50:00,Dia,2025-02-10 08:50:00,Ninguno,0
