Tanque,pH,Temperatura_C,Fecha,Hora,Jornada,Fecha_Hora,evento_externo,estado
Tanque 3,6.86,18.17,2025-03-28,08:35:00,Dia,2025-03-28 08:35:00,Ninguno,0
Tanque 4,7.04,19.78,2025-03-28,08:40:00,Dia,2025-03-28 08:40:00,Ninguno,0
Tanque 5,6.92,19.39,2025-03-28,08:45:00,Dia,2025-03-28 08:45:00,Ninguno,0
Tanque 6,6.91,18.73,2025-03-28,08:50:00,Dia,2025-03-28 08:50:00,Ninguno,0
Tanque 7,7.05,19.09,2025-03-28,08:55:00,Dia,2025-03-28 08:55:00,Ninguno,0
Tanque 8,6.9,18.95,2025-03-28,09:00:00,Dia,2025-03-28 09:00:00,Ninguno,0
Tanque 9,6.64,21.43,2025-03-28,09:05:00,Dia,2025-03-28 09:05:00,Ninguno,1
Tanque 10,6.95,19.28,2025-03-28,09:10:00,Dia,2025-03-28 09:10:00,Ninguno,0
Tanque 1,6.9,19.62,2025-03-28,15:00:00,Tarde,2025-03-28 15:00:00,Ninguno,0
Tanque 2,7.01,19.75,2025-03-28,15:05:00,Tarde,2025-03-28 15:05:00,Ninguno,0
Tanque 3,6.99,18.6,2025-03-28,15:10:00,Tarde,2025-03-28 15:10:00,Ninguno,0
Tanque 4,7.02,19.99,2025-03-28,15:15:00,Tarde,2025-03-28 15:15:00,Ninguno,0
Tanque 5,6.93,19.61,2025-03-28,15:20:00,Tarde,2025-03-28 15:20:00,Ninguno,0
Tanque 6,7.0,19.3,2025-03-28,15:25:00,Tarde,2025-03-28 15:25:00,Ninguno,0
Tanque 7,6.98,19.39,2025-03-28,15:30:00,Tarde,2025-03-28 15:30:00,Ninguno,0
Tanque 8,6.91,19.53,2025-03-28,15:35:00,Tarde,2025-03-28 15:35:00,Ninguno,0
Tanque 9,6.48,23.02,2025-03-28,15:40:00,Tarde,2025-03-28 15:40:00,Ninguno,1
Tanque 10,6.95,19.24,2025-03-28,15:45:00,Tarde,2025-03-28 15:45:00,Ninguno,0
Tanque 1,7.08,19.41,2025-03-31,08:25:00,Dia,2025-03-31 08:25:00,Ninguno,0
Tanque 2,7.2,19.62,2025-03-31,08:30:00,Dia,2025-03-31 08:30:00,Ninguno,0
Tanque 3,7.09,18.64,2025-03-31,08:35:00,Dia,2025-03-31 08:35:00,Ninguno,0
Tanque 4,7.08,19.9,2025-03-31,08:40:00,Dia,2025-03-31 08:40:00,Ninguno,0
Tanque 5,6.82,19.04,2025-03-31,08:45:00,Dia,2025-03-31 08:45:00,Ninguno,0
Tanque 6,7.11,19.35,2025-03-31,08:50:00,Dia,2025-03-31 08:50:00,Ninguno,0
Tanque 7,7.08,19.63,2025-03-31,08:55:00,Dia,2025-03-31 08:55:00,Ninguno,0
Tanque 8,6.98,19.42,2025-03-31,09:00:00,Dia,2025-03-31 09:00:00,Ninguno,0
Tanque 9,6.66,21.73,2025-03-31,09:05:00,Dia,2025-03-31 09:05:00,Ninguno,1
Tanque 10,7.14,18.64,2025-03-31,09:10:00,Dia,2025-03-31 09:10:00,Ninguno,0
Tanque 1,7.14,19.71,2025-03-31,15:00:00,Tarde,2025-03-31 15:00:00,Ninguno,0
Tanque 2,7.23,19.66,2025-03-31,15:05:00,Tarde,2025-03-31 15:05:00,Ninguno,0
Tanque 3,6.96,18.99,2025-03-31,15:10:00,Tarde,2025-03-31 15:10:00,Ninguno,0
Tanque 4,7.14,19.98,2025-03-31,15:15:00,Tarde,2025-03-31 15:15:00,Ninguno,0
Tanque 5,7.08,19.71,2025-03-31,15:20:00,Tarde,2025-03-31 15:20:00,Ninguno,0
Tanque 6,7.15,20.25,2025-03-31,15:25:00,Tarde,2025-03-31 15:25:00,Ninguno,1
Tanque 7,7.1,19.55,2025-03-31,15:30:00,Tarde,2025-03-31 15:30:00,Ninguno,0
Tanque 9,6.69,21.52,2025-03-31,15:40:00,Tarde,2025-03-31 15:40:00,Ninguno,1
Tanque 10,7.07,19.67,2025-03-31,15:45:00,Tarde,2025-03-31 15:45:00,Ninguno,0
Tanque 1,7.0,19.03,2025-04-01,08:25:00,Dia,2025-04-01 08:25:00,Ninguno,0
Tanque 2,7.15,19.49,2025-04-01,08:30:00,Dia,2025-04-01 08:30:00,Ninguno,0
Tanque 3,7.08,18.84,2025-04-01,08:35:00,Dia,2025-04-01 08:35:00,Ninguno,0
Tanque 4,6.87,19.61,2025-04-01,08:40:00,Dia,2025-04-01 08:40:00,Ninguno,0
Tanque 5,7.0,19.07,2025-04-01,08:45:00,Dia,2025-04-01 08:45:00,Ninguno,0
Tanque 6,7.17,20.23,2025-04-01,08:50:00,Dia,2025-04-01 08:50:00,Ninguno,1
Tanque 7,7.09,18.94,2025-04-01,08:55:00,Dia,2025-04-01 08:55:00,Ninguno,0
Tanque 9,6.69,21.64,2025-04-01,09:05:00,Dia,2025-04-01 09:05:00,Ninguno,1
Tanque 10,6.96,19.12,2025-04-01,09:10:00,Dia,2025-04-01 09:10:00,Ninguno,0
Tanque 1,6.88,19.5,2025-04-01,15:00:00,Tarde,2025-04-01 15:00:00,Ninguno,0
Tanque 2,6.99,19.59,2025-04-01,15:05:00,Tarde,2025-04-01 15:05:00,Ninguno,0
Tanque 3,7.01,19.38,2025-04-01,15:10:00,Tarde,2025-04-01 15:10:00,Ninguno,0
Tanque 4,6.92,19.47,2025-04-01,15:15:00,Tarde,2025-04-01 15:15:00,Ninguno,0
Tanque 5,6.89,18.56,2025-04-01,15:20:00,Tarde,2025-04-01 15:20:00,Ninguno,0
Tanque 6,7.19,20.66,2025-04-01,15:25:00,Tarde,2025-04-01 15:25:00,Ninguno,1
Tanque 7,7.04,18.66,2025-04-01,15:30:00,Tarde,2025-04-01 15:30:00,Ninguno,0
Tanque 8,7.04,19.65,2025-04-01,15:35:00,Tarde,2025-04-01 15:35:00,Ninguno,0
Tanque 9,6.7,21.43,2025-04-01,15:40:00,Tarde,2025-04-01 15:40:00,Ninguno,1
Tanque 10,6.94,18.95,2025-04-01,15:45:00,Tarde,2025-04-01 15:45:00,Ninguno,0
Tanque 1,7.05,18.84,2025-04-02,08:25:00,Dia,2025-04-02 08:25:00,Ninguno,0
Tanque 2,7.01,19.61,2025-04-02,08:30:00,Dia,2025-04-02 08:30:00,Ninguno,0
Tanque 3,7.01,18.55,2025-04-02,08:35:00,Dia,2025-04-02 08:35:00,Ninguno,0
Tanque 4,6.96,19.53,2025-04-02,08:40:00,Dia,2025-04-02 08:40:00,Ninguno,0
Tanque 6,7.25,20.27,2025-04-02,08:50:00,Dia,2025-04-02 08:50:00,Ninguno,1
Tanque 7,7.09,18.8,2025-04-02,08:55:00,Dia,2025-04-02 08:55:00,Ninguno,0
Tanque 8,7.02,19.22,2025-04-02,09:00:00,Dia,2025-04-02 09:00:00,Ninguno,0
Tanque 9,6.82,20.34,2025-04-02,09:05:00,Dia,2025-04-02 09:05:00,Ninguno,1
Tanque 10,7.0,19.58,2025-04-02,09:10:00,Dia,2025-04-02 09:10:00,Ninguno,0
Tanque 1,7.01,19.26,2025-04-02,15:00:00,Tarde,2025-04-02 15:00:00,Ninguno,0
Tanque 2,7.06,19.53,2025-04-02,15:05:00,Tarde,2025-04-02 15:05:00,Ninguno,0
Tanque 5,6.89,18.95,2025-04-02,15:20:00,Tarde,2025-04-02 15:20:00,Ninguno,0
Tanque 6,7.2,20.59,2025-04-02,15:25:00,Tarde,2025-04-02 15:25:00,Ninguno,1
Tanque 7,7.14,18.95,2025-04-02,15:30:00,Tarde,2025-04-02 15:30:00,Ninguno,0
Tanque 8,7.08,19.53,2025-04-02,15:35:00,Tarde,2025-04-02 15:35:00,Ninguno,0
Tanque 9,6.76,20.82,2025-04-02,15:40:00,Tarde,2025-04-02 15:40:00,Ninguno,1
Tanque 10,7.1,19.22,2025-04-02,15:45:00,Tarde,2025-04-02 15:45:00,Ninguno,0
Tanque 1,7.09,19.42,2025-04-03,08:25:00,Dia,2025-04-03 08:25:00,Ninguno,0
Tanque 2,6.96,19.32,2025-04-03,08:30:00,Dia,2025-04-03 08:30:00,Ninguno,0
Tanque 4,7.02,19.56,2025-04-03,08:40:00,Dia,2025-04-03 08:40:00,Ninguno,0
Tanque 5,6.86,18.43,2025-04-03,08:45:00,Dia,2025-04-03 08:45:00,Ninguno,0
Tanque 6,7.09,19.7,2025-04-03,08:50:00,Dia,2025-04-03 08:50:00,Ninguno,0
Tanque 7,7.02,18.35,2025-04-03,08:55:00,Dia,2025-04-03 08:55:00,Ninguno,0
Tanque 8,7.03,19.25,2025-04-03,09:00:00,Dia,2025-04-03 09:00:00,Ninguno,0
Tanque 10,6.87,18.68,2025-04-03,09:10:00,Dia,2025-04-03 09:10:00,Ninguno,0
Tanque 1,7.24,20.37,2025-04-03,15:00:00,Tarde,2025-04-03 15:00:00,Ninguno,1
Tanque 2,6.92,19.9,2025-04-03,15:05:00,Tarde,2025-04-03 15:05:00,Ninguno,0
Tanque 3,6.88,19.31,2025-04-03,15:10:00,Tarde,2025-04-03 15:10:00,Ninguno,0
Tanque 4,7.04,19.55,2025-04-03,15:15:00,Tarde,2025-04-03 15:15:00,Ninguno,0
Tanque 5,6.88,19.3,2025-04-03,15:20:00,Tarde,2025-04-03 15:20:00,Ninguno,0
Tanque 6,7.12,20.12,2025-04-03,15:25:00,Tarde,2025-04-03 15:25:00,Ninguno,1
Tanque 7,6.91,19.05,2025-04-03,15:30:00,Tarde,2025-04-03 15:30:00,Ninguno,0
Tanque 8,6.99,19.38,2025-04-03,15:35:00,Tarde,2025-04-03 15:35:00,Ninguno,0
Tanque 9,6.81,19.96,2025-04-03,15:40:00,Tarde,2025-04-03 15:40:00,Ninguno,0
Tanque 10,6.83,19.9,2025-04-03,15:45:00,Tarde,2025-04-03 15:45:00,Ninguno,0
Tanque 1,7.14,20.33,2025-04-04,08:25:00,Dia,2025-04-04 08:25:00,Ninguno,1
Tanque 2,7.04,19.27,2025-04-04,08:30:00,Dia,2025-04-04 08:30:00,Ninguno,0
Tanque 3,6.98,19.33,2025-04-04,08:35:00,Dia,2025-04-04 08:35:00,Ninguno,0
Tanque 4,6.78,19.34,2025-04-04,08:40:00,Dia,2025-04-04 08:40:00,Ninguno,0
Tanque 6,7.13,20.03,2025-04-04,08:50:00,Dia,2025-04-04 08:50:00,Ninguno,1
Tanque 7,7.05,18.99,2025-04-04,08:55:00,Dia,2025-04-04 08:55:00,Ninguno,0
Tanque 8,6.9,18.85,2025-04-04,09:00:00,Dia,2025-04-04 09:00:00,Ninguno,0
Tanque 9,6.91,21.33,2025-04-04,09:05:00,Dia,2025-04-04 09:05:00,Ninguno,1
Tanque 1,7.14,21.43,2025-04-04,15:00:00,Tarde,2025-04-04 15:00:00,Ninguno,1
Tanque 3,6.97,19.46,2025-04-04,15:10:00,Tarde,2025-04-04 15:10:00,Ninguno,0
Tanque 4,7.02,19.31,2025-04-04,15:15:00,Tarde,2025-04-04 15:15:00,Ninguno,0
Tanque 5,6.93,19.37,2025-04-04,15:20:00,Tarde,2025-04-04 15:20:00,Ninguno,0
Tanque 6,7.11,20.13,2025-04-04,15:25:00,Tarde,2025-04-04 15:25:00,Ninguno,1
Tanque 7,6.89,19.21,2025-04-04,15:30:00,Tarde,2025-04-04 15:30:00,Ninguno,0
Tanque 8,6.82,19.39,2025-04-04,15:35:00,Tarde,2025-04-04 15:35:00,Ninguno,0
Tanque 9,7.11,22.13,2025-04-04,15:40:00,Tarde,2025-04-04 15:40:00,Ninguno,1
Tanque 10,6.99,18.83,2025-04-04,15:45:00,Tarde,2025-04-04 15:45:00,Ninguno,0
Tanque 1,7.41,21.08,2025-04-07,08:25:00,Dia,2025-04-07 08:25:00,Ninguno,1
Tanque 2,7.06,19.73,2025-04-07,08:30:00,Dia,2025-04-07 08:30:00,Ninguno,0
Tanque 3,7.06,18.89,2025-04-07,08:35:00,Dia,2025-04-07 08:35:00,Ninguno,0
Tanque 4,7.1,19.19,2025-04-07,08:40:00,Dia,2025-04-07 08:40:00,Ninguno,0
Tanque 6,7.11,19.66,2025-04-07,08:50:00,Dia,2025-04-07 08:50:00,Ninguno,0
Tanque 8,7.04,19.31,2025-04-07,09:00:00,Dia,2025-04-07 09:00:00,Ninguno,0
Tanque 9,7.13,21.53,2025-04-07,09:05:00,Dia,2025-04-07 09:05:00,Ninguno,1
Tanque 1,7.48,22.29,2025-04-07,15:00:00,Tarde,2025-04-07 15:00:00,Ninguno,1
Tanque 2,7.12,20.03,2025-04-07,15:05:00,Tarde,2025-04-07 15:05:00,Ninguno,1
Tanque 3,7.07,19.46,2025-04-07,15:10:00,Tarde,2025-04-07 15:10:00,Ninguno,0
Tanque 4,7.05,19.37,2025-04-07,15:15:00,Tarde,2025-04-07 15:15:00,Ninguno,0
Tanque 5,7.07,19.41,2025-04-07,15:20:00,Tarde,2025-04-07 15:20:00,Ninguno,0
Tanque 6,7.2,20.2,2025-04-07,15:25:00,Tarde,2025-04-07 15:25:00,Ninguno,1
Tanque 7,6.98,19.29,2025-04-07,15:30:00,Tarde,2025-04-07 15:30:00,Ninguno,0
Tanque 9,7.15,21.27,2025-04-07,15:40:00,Tarde,2025-04-07 15:40:00,Ninguno,1
Tanque 10,6.93,18.77,2025-04-07,15:45:00,Tarde,2025-04-07 15:45:00,Ninguno,0
Tanque 1,7.37,21.24,2025-04-08,08:25:00,Dia,2025-04-08 08:25:00,Ninguno,1
Tanque 2,7.03,19.42,2025-04-08,08:30:00,Dia,2025-04-08 08:30:00,Ninguno,0
Tanque 3,6.98,19.3,2025-04-08,08:35:00,Dia,2025-04-08 08:35:00,Ninguno,0
Tanque 5,6.99,18.91,2025-04-08,08:45:00,Dia,2025-04-08 08:45:00,Ninguno,0
Tanque 6,6.97,19.33,2025-04-08,08:50:00,Dia,2025-04-08 08:50:00,Ninguno,0
Tanque 8,6.97,19.22,2025-04-08,09:00:00,Dia,2025-04-08 09:00:00,Ninguno,0
Tanque 9,7.11,20.58,2025-04-08,09:05:00,Dia,2025-04-08 09:05:00,Ninguno,1
Tanque 10,6.88,17.6,2025-04-08,09:10:00,Dia,2025-04-08 09:10:00,Ninguno,0
Tanque 1,7.2,21.27,2025-04-08,15:00:00,Tarde,2025-04-08 15:00:00,Ninguno,1
Tanque 2,6.92,19.22,2025-04-08,15:05:00,Tarde,2025-04-08 15:05:00,Ninguno,0
Tanque 4,6.97,19.71,2025-04-08,15:15:00,Tarde,2025-04-08 15:15:00,Ninguno,0
Tanque 7,6.94,18.98,2025-04-08,15:30:00,Tarde,2025-04-08 15:30:00,Ninguno,0
Tanque 9,7.03,20.6,2025-04-08,15:40:00,Tarde,2025-04-08 15:40:00,Ninguno,1
Tanque 10,6.79,17.88,2025-04-08,15:45:00,Tarde,2025-04-08 15:45:00,Ninguno,0
Tanque 1,7.37,20.66,2025-04-09,08:25:00,Dia,2025-04-09 08:25:00,Ninguno,1
Tanque 2,7.08,19.3,2025-04-09,08:30:00,Dia,2025-04-09 08:30:00,Ninguno,0
Tanque 3,6.88,19.08,2025-04-09,08:35:00,Dia,2025-04-09 08:35:00,Ninguno,0
Tanque 4,6.94,19.58,2025-04-09,08:40:00,Dia,2025-04-09 08:40:00,Ninguno,0
Tanque 5,6.93,18.99,2025-04-09,08:45:00,Dia,2025-04-09 08:45:00,Ninguno,0
Tanque 6,7.08,19.61,2025-04-09,08:50:00,Dia,2025-04-09 08:50:00,Ninguno,0
Tanque 7,7.02,18.79,2025-04-09,08:55:00,Dia,2025-04-09 08:55:00,Ninguno,0
Tanque 8,6.98,19.78,2025-04-09,09:00:00,Dia,2025-04-09 09:00:00,Ninguno,0
Tanque 9,7.06,20.45,2025-04-09,09:05:00,Dia,2025-04-09 09:05:00,Ninguno,1
Tanque 10,6.69,17.96,2025-04-09,09:10:00,Dia,2025-04-09 09:10:00,Ninguno,0
Tanque 1,7.32,20.7,2025-04-09,15:00:00,Tarde,2025-04-09 15:00:00,Ninguno,1
Tanque 2,7.01,19.3,2025-04-09,15:05:00,Tarde,2025-04-09 15:05:00,Ninguno,0
Tanque 3,6.93,19.36,2025-04-09,15:10:00,Tarde,2025-04-09 15:10:00,Ninguno,0
Tanque 4,6.76,19.83,2025-04-09,15:15:00,Tarde,2025-04-09 15:15:00,Ninguno,0
Tanque 5,7.06,19.26,2025-04-09,15:20:00,Tarde,2025-04-09 15:20:00,Ninguno,0
Tanque 6,7.03,20.11,2025-04-09,15:25:00,Tarde,2025-04-09 15:25:00,Ninguno,1
Tanque 7,7.14,19.39,2025-04-09,15:30:00,Tarde,2025-04-09 15:30:00,Ninguno,0
Tanque 8,7.14,20.5,2025-04-09,15:35:00,Tarde,2025-04-09 15:35:00,Ninguno,1
Tanque 10,6.88,18.76,2025-04-09,15:45:00,Tarde,2025-04-09 15:45:00,Ninguno,0
Tanque 1,7.08,20.47,2025-04-10,08:25:00,Dia,2025-04-10 08:25:00,Ninguno,1
Tanque 2,7.0,19.81,2025-04-10,08:30:00,Dia,2025-04-10 08:30:00,Ninguno,0
Tanque 3,6.99,18.91,2025-04-10,08:35:00,Dia,2025-04-10 08:35:00,Ninguno,0
Tanque 4,6.87,19.37,2025-04-10,08:40:00,Dia,2025-04-10 08:40:00,Ninguno,0
Tanque 6,7.04,18.58,2025-04-10,08:50:00,Dia,2025-04-10 08:50:00,Ninguno,0
Tanque 7,6.86,19.06,2025-04-10,08:55:00,Dia,2025-04-10 08:55:00,Ninguno,0
Tanque 8,7.13,19.97,2025-04-10,09:00:00,Dia,2025-04-10 09:00:00,Ninguno,0
Tanque 9,6.98,19.8,2025-04-10,09:05:00,Dia,2025-04-10 09:05:00,Ninguno,0
Tanque 10,6.87,18.73,2025-04-10,09:10:00,Dia,2025-04-10 09:10:00,Ninguno,0
Tanque 1,7.06,20.38,2025-04-10,15:00:00,Tarde,2025-04-10 15:00:00,Ninguno,1
Tanque 2,7.12,20.27,2025-04-10,15:05:00,Tarde,2025-04-10 15:05:00,Ninguno,1
Tanque 3,6.97,19.47,2025-04-10,15:10:00,Tarde,2025-04-10 15:10:00,Ninguno,0
Tanque 5,6.96,19.22,2025-04-10,15:20:00,Tarde,2025-04-10 15:20:00,Ninguno,0
Tanque 6,7.14,18.93,2025-04-10,15:25:00,Tarde,2025-04-10 15:25:00,Ninguno,0
Tanque 7,6.86,19.75,2025-04-10,15:30:00,Tarde,2025-04-10 15:30:00,Ninguno,0
Tanque 8,6.97,20.36,2025-04-10,15:35:00,Tarde,2025-04-10 15:35:00,Ninguno,1
Tanque 9,6.91,20.19,2025-04-10,15:40:00,Tarde,2025-04-10 15:40:00,Ninguno,1
Tanque 10,6.84,19.16,2025-04-10,15:45:00,Tarde,2025-04-10 15:45:00,Ninguno,0
Tanque 2,7.12,20.43,2025-04-11,08:30:00,Dia,2025-04-11 08:30:00,Ninguno,1
Tanque 4,6.86,19.55,2025-04-11,08:40:00,Dia,2025-04-11 08:40:00,Ninguno,0
Tanque 5,6.78,19.42,2025-04-11,08:45:00,Dia,2025-04-11 08:45:00,Ninguno,0
Tanque 6,7.06,18.49,2025-04-11,08:50:00,Dia,2025-04-11 08:50:00,Ninguno,0
Tanque 7,7.04,19.22,2025-04-11,08:55:00,Dia,2025-04-11 08:55:00,Ninguno,0
Tanque 8,6.81,19.52,2025-04-11,09:00:00,Dia,2025-04-11 09:00:00,Ninguno,0
Tanque 9,7.07,19.64,2025-04-11,09:05:00,Dia,2025-04-11 09:05:00,Ninguno,0
Tanque 10,6.86,18.41,2025-04-11,09:10:00,Dia,2025-04-11 09:10:00,Ninguno,0
Tanque 1,7.06,20.16,2025-04-11,15:00:00,Tarde,2025-04-11 15:00:00,Ninguno,1
Tanque 3,6.9,19.91,2025-04-11,15:10:00,Tarde,2025-04-11 15:10:00,Ninguno,0
Tanque 4,6.98,19.47,2025-04-11,15:15:00,Tarde,2025-04-11 15:15:00,Ninguno,0
Tanque 5,7.02,19.63,2025-04-11,15:20:00,Tarde,2025-04-11 15:20:00,Ninguno,0
Tanque 6,7.16,19.22,2025-04-11,15:25:00,Tarde,2025-04-11 15:25:00,Ninguno,0
Tanque 7,6.83,20.45,2025-04-11,15:30:00,Tarde,2025-04-11 15:30:00,Ninguno,1
Tanque 9,7.02,19.86,2025-04-11,15:40:00,Tarde,2025-04-11 15:40:00,Ninguno,0
Tanque 10,6.88,19.25,2025-04-11,15:45:00,Tarde,2025-04-11 15:45:00,Ninguno,0
Tanque 1,7.15,19.56,2025-04-14,08:25:00,Dia,2025-04-14 08:25:00,Ninguno,0
Tanque 2,7.25,20.59,2025-04-14,08:30:00,Dia,2025-04-14 08:30:00,Ninguno,1
Tanque 3,7.15,19.04,2025-04-14,08:35:00,Dia,2025-04-14 08:35:00,Ninguno,0
Tanque 4,7.13,19.72,2025-04-14,08:40:00,Dia,2025-04-14 08:40:00,Ninguno,0
Tanque 5,7.17,19.03,2025-04-14,08:45:00,Dia,2025-04-14 08:45:00,Ninguno,0
Tanque 7,6.95,19.74,2025-04-14,08:55:00,Dia,2025-04-14 08:55:00,Ninguno,0
Tanque 8,7.07,19.96,2025-04-14,09:00:00,Dia,2025-04-14 09:00:00,Ninguno,0
Tanque 9,7.03,19.83,2025-04-14,09:05:00,Dia,2025-04-14 09:05:00,Ninguno,0
Tanque 2,7.43,21.07,2025-04-14,15:05:00,Tarde,2025-04-14 15:05:00,Ninguno,1
Tanque 4,7.05,19.37,2025-04-14,15:15:00,Tarde,2025-04-14 15:15:00,Ninguno,0
Tanque 5,6.98,19.38,2025-04-14,15:20:00,Tarde,2025-04-14 15:20:00,Ninguno,0
Tanque 6,7.09,18.9,2025-04-14,15:25:00,Tarde,2025-04-14 15:25:00,Ninguno,0
Tanque 7,6.93,20.26,2025-04-14,15:30:00,Tarde,2025-04-14 15:30:00,Ninguno,1
Tanque 8,7.08,20.24,2025-04-14,15:35:00,Tarde,2025-04-14 15:35:00,Ninguno,1
Tanque 9,7.06,20.42,2025-04-14,15:40:00,Tarde,2025-04-14 15:40:00,Ninguno,1
Tanque 10,6.85,19.14,2025-04-14,15:45:00,Tarde,2025-04-14 15:45:00,Ninguno,0
Tanque 1,7.15,20.0,2025-04-15,08:25:00,Dia,2025-04-15 08:25:00,Ninguno,0
Tanque 2,7.22,21.14,2025-04-15,08:30:00,Dia,2025-04-15 08:30:00,Ninguno,1
Tanque 3,7.02,19.46,2025-04-15,08:35:00,Dia,2025-04-15 08:35:00,Ninguno,0
Tanque 4,6.99,20.02,2025-04-15,08:40:00,Dia,2025-04-15 08:40:00,Ninguno,1
Tanque 5,7.12,19.1,2025-04-15,08:45:00,Dia,2025-04-15 08:45:00,Ninguno,0
Tanque 6,7.01,19.05,2025-04-15,08:50:00,Dia,2025-04-15 08:50:00,Ninguno,0
Tanque 7,7.02,19.77,2025-04-15,08:55:00,Dia,2025-04-15 08:55:00,Ninguno,0
Tanque 8,6.97,20.23,2025-04-15,09:00:00,Dia,2025-04-15 09:00:00,Ninguno,1
Tanque 9,7.13,19.87,2025-04-15,09:05:00,Dia,2025-04-15 09:05:00,Ninguno,0
Tanque 10,6.98,19.08,2025-04-15,09:10:00,Dia,2025-04-15 09:10:00,Ninguno,0
Tanque 1,7.16,19.48,2025-04-15,15:00:00,Tarde,2025-04-15 15:00:00,Ninguno,0
Tanque 4,6.94,19.32,2025-04-15,15:15:00,Tarde,2025-04-15 15:15:00,Ninguno,0
Tanque 5,7.01,19.22,2025-04-15,15:20:00,Tarde,2025-04-15 15:20:00,Ninguno,0
Tanque 6,7.05,18.69,2025-04-15,15:25:00,Tarde,2025-04-15 15:25:00,Ninguno,0
Tanque 7,6.83,19.46,2025-04-15,15:30:00,Tarde,2025-04-15 15:30:00,Ninguno,0
Tanque 8,6.9,20.59,2025-04-15,15:35:00,Tarde,2025-04-15 15:35:00,Ninguno,1
Tanque 9,7.12,19.6,2025-04-15,15:40:00,Tarde,2025-04-15 15:40:00,Ninguno,0
Tanque 2,7.22,20.63,2025-04-16,08:30:00,Dia,2025-04-16 08:30:00,Ninguno,1
Tanque 3,7.08,19.1,2025-04-16,08:35:00,Dia,2025-04-16 08:35:00,Ninguno,0
Tanque 5,6.92,18.89,2025-04-16,08:45:00,Dia,2025-04-16 08:45:00,Ninguno,0
Tanque 6,7.07,19.11,2025-04-16,08:50:00,Dia,2025-04-16 08:50:00,Ninguno,0
Tanque 8,6.6,20.56,2025-04-16,09:00:00,Dia,2025-04-16 09:00:00,Ninguno,1
Tanque 9,7.09,19.54,2025-04-16,09:05:00,Dia,2025-04-16 09:05:00,Ninguno,0
Tanque 10,6.96,19.2,2025-04-16,09:10:00,Dia,2025-04-16 09:10:00,Ninguno,0
Tanque 1,7.1,19.67,2025-04-16,15:00:00,Tarde,2025-04-16 15:00:00,Ninguno,0
Tanque 2,7.18,20.44,2025-04-16,15:05:00,Tarde,2025-04-16 15:05:00,Ninguno,1
Tanque 3,7.04,19.32,2025-04-16,15:10:00,Tarde,2025-04-16 15:10:00,Ninguno,0
Tanque 4,7.03,19.89,2025-04-16,15:15:00,Tarde,2025-04-16 15:15:00,Ninguno,0
Tanque 7,6.91,20.46,2025-04-16,15:30:00,Tarde,2025-04-16 15:30:00,Ninguno,1
Tanque 8,6.76,21.77,2025-04-16,15:35:00,Tarde,2025-04-16 15:35:00,Ninguno,1
Tanque 9,6.99,20.25,2025-04-16,15:40:00,Tarde,2025-04-16 15:40:00,Ninguno,1
Tanque 10,6.97,19.01,2025-04-16,15:45:00,Tarde,2025-04-16 15:45:00,Ninguno,0
Tanque 1,6.99,19.37,2025-04-17,08:25:00,Dia,2025-04-17 08:25:00,Ninguno,0
Tanque 2,7.16,20.19,2025-04-17,08:30:00,Dia,2025-04-17 08:30:00,Ninguno,1
Tanque 3,7.07,19.05,2025-04-17,08:35:00,Dia,2025-04-17 08:35:00,Ninguno,0
Tanque 5,7.03,19.45,2025-04-17,08:45:00,Dia,2025-04-17 08:45:00,Ninguno,0
Tanque 6,7.04,18.78,2025-04-17,08:50:00,Dia,2025-04-17 08:50:00,Ninguno,0
Tanque 7,6.73,20.26,2025-04-17,08:55:00,Dia,2025-04-17 08:55:00,Ninguno,1
Tanque 8,6.77,20.94,2025-04-17,09:00:00,Dia,2025-04-17 09:00:00,Ninguno,1
Tanque 9,7.03,19.2,2025-04-17,09:05:00,Dia,2025-04-17 09:05:00,Ninguno,0
Tanque 10,7.05,18.76,2025-04-17,09:10:00,Dia,2025-04-17 09:10:00,Ninguno,0
Tanque 1,7.02,20.28,2025-04-17,15:00:00,Tarde,2025-04-17 15:00:00,Ninguno,1
Tanque 2,7.16,20.02,2025-04-17,15:05:00,Tarde,2025-04-17 15:05:00,Ninguno,1
Tanque 3,6.88,19.19,2025-04-17,15:10:00,Tarde,2025-04-17 15:10:00,Ninguno,0
Tanque 4,6.85,19.83,2025-04-17,15:15:00,Tarde,2025-04-17 15:15:00,Ninguno,0
Tanque 6,7.09,19.62,2025-04-17,15:25:00,Tarde,2025-04-17 15:25:00,Ninguno,0
Tanque 7,6.92,20.07,2025-04-17,15:30:00,Tarde,2025-04-17 15:30:00,Ninguno,1
Tanque 8,6.84,20.26,2025-04-17,15:35:00,Tarde,2025-04-17 15:35:00,Ninguno,1
Tanque 9,6.93,19.4,2025-04-17,15:40:00,Tarde,2025-04-17 15:40:00,Ninguno,0
Tanque 10,6.95,20.3,2025-04-17,15:45:00,Tarde,2025-04-17 15:45:00,Ninguno,1
Tanque 1,7.03,19.59,2025-04-18,08:25:00,Dia,2025-04-18 08:25:00,Ninguno,0
Tanque 2,7.22,19.6,2025-04-18,08:30:00,Dia,2025-04-18 08:30:00,Ninguno,0
Tanque 3,7.09,18.89,2025-04-18,08:35:00,Dia,2025-04-18 08:35:00,Ninguno,0
